save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.53846153846155, record@175-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:91.20879364013672, trainAcc:87.01923076923077, record@176-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.25961538461539, record@177-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:88.10096153846155, record@179-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.53846153846155, record@180-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.6201923076923, record@181-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:88.22115384615384, record@182-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:88.22115384615384, record@183-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.86057692307693, record@184-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.3798076923077, record@186-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.89903846153845, record@187-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.89903846153845, record@188-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.6201923076923, record@189-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.77884615384616, record@192-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.0576923076923, record@194-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.84249114990234, trainAcc:86.41826923076923, record@196-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.3798076923077, record@197-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.86057692307693, record@200-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.5, record@201-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:86.77884615384616, record@202-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:88.22115384615384, record@203-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:88.64469146728516, trainAcc:88.10096153846155, record@205-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.89903846153845, record@206-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.01923076923077, record@207-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.65865384615384, record@210-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.29807692307693, record@212-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:86.0576923076923, record@213-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:86.89903846153845, record@215-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:87.25961538461539, record@216-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.41826923076923, record@217-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.53846153846155, record@218-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.17788461538461, record@219-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:88.22115384615384, record@220-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.0576923076923, record@221-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:88.10096153846155, record@222-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.41826923076923, record@224-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.13942307692307, record@225-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.98076923076923, record@228-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.77884615384616, record@229-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.0576923076923, record@230-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:89.0625, record@234-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:88.64469146728516, trainAcc:86.77884615384616, record@235-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:88.10096153846155, record@236-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:86.41826923076923, record@237-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.77884615384616, record@240-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.77884615384616, record@241-epoch
