SP-[1] Epoch: 1/1000 | Time: 0m07s (Train 0m06s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.65  Acc 29.97% | Val: Loss nan  Acc(top1) 18.64% | HA 0.00@0

SP-[1] Epoch: 2/1000 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.58  Acc 37.64% | Val: Loss nan  Acc(top1) 19.49% | HA 0.00@0

SP-[1] Epoch: 3/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.55  Acc 44.03% | Val: Loss nan  Acc(top1) 65.25% | HA 0.00@0

SP-[1] Epoch: 4/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.55  Acc 44.03% | Val: Loss -0.12  Acc(top1) 63.98% | HA 0.00@0

SP-[1] Epoch: 5/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.54  Acc 44.18% | Val: Loss -0.12  Acc(top1) 63.98% | HA 0.00@0

SP-[1] Epoch: 6/1000 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.52  Acc 47.44% | Val: Loss -0.11  Acc(top1) 63.14% | HA 0.00@0

SP-[1] Epoch: 7/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.50  Acc 51.99% | Val: Loss nan  Acc(top1) 64.41% | HA 0.00@0

SP-[1] Epoch: 8/1000 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.48  Acc 53.98% | Val: Loss nan  Acc(top1) 64.41% | HA 0.00@0

SP-[1] Epoch: 9/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.47  Acc 59.09% | Val: Loss nan  Acc(top1) 64.83% | HA 0.00@0

SP-[1] Epoch: 10/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.45  Acc 61.22% | Val: Loss nan  Acc(top1) 71.19% | HA 0.00@0

SP-[1] Epoch: 11/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.40  Acc 63.07% | Val: Loss nan  Acc(top1) 81.78% | HA 0.00@0

SP-[1] Epoch: 12/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 70.88% | Val: Loss nan  Acc(top1) 87.29% | HA 0.00@0

SP-[1] Epoch: 13/1000 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 70.74% | Val: Loss nan  Acc(top1) 88.14% | HA 0.00@0

SP-[1] Epoch: 14/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 72.59% | Val: Loss nan  Acc(top1) 89.83% | HA 0.00@0

SP-[1] Epoch: 15/1000 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.31  Acc 69.32% | Val: Loss nan  Acc(top1) 86.02% | HA 0.00@0

SP-[1] Epoch: 16/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 69.89% | Val: Loss nan  Acc(top1) 88.98% | HA 0.00@0

SP-[1] Epoch: 17/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 68.61% | Val: Loss nan  Acc(top1) 88.14% | HA 0.00@0

