SP-[1] Epoch: 1/800 | Time: 0m06s (Train 0m05s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.58  Acc 51.08% | Val: Loss nan  Acc(top1) 16.12% | HA 0.00@0

SP-[1] Epoch: 2/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.57  Acc 56.25% | Val: Loss nan  Acc(top1) 38.83% | HA 0.00@0

SP-[1] Epoch: 3/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.55  Acc 58.89% | Val: Loss nan  Acc(top1) 35.90% | HA 0.00@0

SP-[1] Epoch: 4/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.54  Acc 66.59% | Val: Loss nan  Acc(top1) 36.26% | HA 0.00@0

SP-[1] Epoch: 5/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.54  Acc 70.79% | Val: Loss nan  Acc(top1) 37.00% | HA 0.00@0

SP-[1] Epoch: 6/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.52  Acc 76.20% | Val: Loss nan  Acc(top1) 36.63% | HA 0.00@0

SP-[1] Epoch: 7/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.51  Acc 77.64% | Val: Loss nan  Acc(top1) 37.00% | HA 0.00@0

SP-[1] Epoch: 8/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.49  Acc 82.45% | Val: Loss nan  Acc(top1) 37.36% | HA 0.00@0

SP-[1] Epoch: 9/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.48  Acc 81.25% | Val: Loss nan  Acc(top1) 37.36% | HA 0.00@0

SP-[1] Epoch: 10/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.48  Acc 84.74% | Val: Loss nan  Acc(top1) 37.36% | HA 0.00@0

SP-[1] Epoch: 11/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.40  Acc 89.78% | Val: Loss nan  Acc(top1) 38.10% | HA 0.00@0

SP-[1] Epoch: 12/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 92.07% | Val: Loss nan  Acc(top1) 40.66% | HA 0.00@0

SP-[1] Epoch: 13/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.25  Acc 91.95% | Val: Loss nan  Acc(top1) 41.03% | HA 0.00@0

SP-[1] Epoch: 14/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.22  Acc 93.03% | Val: Loss nan  Acc(top1) 41.76% | HA 0.00@0

SP-[1] Epoch: 15/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.22  Acc 90.50% | Val: Loss nan  Acc(top1) 45.05% | HA 0.00@0

SP-[1] Epoch: 16/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 91.47% | Val: Loss nan  Acc(top1) 46.15% | HA 0.00@0

SP-[1] Epoch: 17/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 89.78% | Val: Loss nan  Acc(top1) 45.05% | HA 0.00@0

SP-[1] Epoch: 18/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 91.71% | Val: Loss nan  Acc(top1) 45.79% | HA 0.00@0

SP-[1] Epoch: 19/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 87.86% | Val: Loss nan  Acc(top1) 49.82% | HA 0.00@0

SP-[1] Epoch: 20/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 91.71% | Val: Loss nan  Acc(top1) 49.08% | HA 0.00@0

SP-[1] Epoch: 21/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 88.82% | Val: Loss nan  Acc(top1) 49.08% | HA 0.00@0

SP-[1] Epoch: 22/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 90.62% | Val: Loss nan  Acc(top1) 50.92% | HA 0.00@0

SP-[1] Epoch: 23/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 88.82% | Val: Loss nan  Acc(top1) 54.95% | HA 0.00@0

SP-[1] Epoch: 24/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 91.11% | Val: Loss nan  Acc(top1) 47.99% | HA 0.00@0

SP-[1] Epoch: 25/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 89.54% | Val: Loss nan  Acc(top1) 50.92% | HA 0.00@0

SP-[1] Epoch: 26/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 90.26% | Val: Loss nan  Acc(top1) 51.65% | HA 0.00@0

SP-[1] Epoch: 27/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 88.94% | Val: Loss nan  Acc(top1) 53.48% | HA 0.00@0

SP-[1] Epoch: 28/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 89.54% | Val: Loss nan  Acc(top1) 49.45% | HA 0.00@0

SP-[1] Epoch: 29/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 89.78% | Val: Loss nan  Acc(top1) 49.82% | HA 0.00@0

SP-[1] Epoch: 30/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 91.83% | Val: Loss nan  Acc(top1) 50.18% | HA 0.00@0

SP-[1] Epoch: 31/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 91.83% | Val: Loss nan  Acc(top1) 54.95% | HA 0.00@0

SP-[1] Epoch: 32/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 91.83% | Val: Loss nan  Acc(top1) 49.82% | HA 0.00@0

SP-[1] Epoch: 33/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 90.75% | Val: Loss nan  Acc(top1) 53.85% | HA 0.00@0

SP-[1] Epoch: 34/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 91.23% | Val: Loss nan  Acc(top1) 54.21% | HA 0.00@0

SP-[1] Epoch: 35/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 90.99% | Val: Loss nan  Acc(top1) 52.38% | HA 0.00@0

SP-[1] Epoch: 36/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 90.62% | Val: Loss nan  Acc(top1) 51.65% | HA 0.00@0

SP-[1] Epoch: 37/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 89.42% | Val: Loss nan  Acc(top1) 54.95% | HA 0.00@0

SP-[1] Epoch: 38/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 91.11% | Val: Loss nan  Acc(top1) 53.48% | HA 0.00@0

SP-[1] Epoch: 39/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 91.35% | Val: Loss nan  Acc(top1) 54.21% | HA 0.00@0

SP-[1] Epoch: 40/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 91.23% | Val: Loss nan  Acc(top1) 56.41% | HA 0.00@0

SP-[1] Epoch: 41/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 91.11% | Val: Loss nan  Acc(top1) 53.11% | HA 0.00@0

SP-[1] Epoch: 42/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 91.35% | Val: Loss nan  Acc(top1) 50.55% | HA 0.00@0

SP-[1] Epoch: 43/800 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 92.43% | Val: Loss nan  Acc(top1) 52.75% | HA 0.00@0

