SP-[1] Epoch: 1/1000 | Time: 0m07s (Train 0m06s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.65  Acc 28.25% | Val: Loss nan  Acc(top1) 37.00% | HA 0.00@0

SP-[1] Epoch: 2/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.54  Acc 44.23% | Val: Loss nan  Acc(top1) 56.04% | HA 0.00@0

SP-[1] Epoch: 3/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.48  Acc 52.76% | Val: Loss -0.20  Acc(top1) 55.31% | HA 0.00@0

SP-[1] Epoch: 4/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.46  Acc 53.00% | Val: Loss -0.20  Acc(top1) 55.31% | HA 0.00@0

SP-[1] Epoch: 5/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.44  Acc 56.01% | Val: Loss nan  Acc(top1) 58.61% | HA 0.00@0

SP-[1] Epoch: 6/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.45  Acc 56.37% | Val: Loss -0.20  Acc(top1) 55.31% | HA 0.00@0

SP-[1] Epoch: 7/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.44  Acc 57.33% | Val: Loss nan  Acc(top1) 61.90% | HA 0.00@0

SP-[1] Epoch: 8/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.44  Acc 56.37% | Val: Loss nan  Acc(top1) 56.04% | HA 0.00@0

SP-[1] Epoch: 9/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.44  Acc 56.25% | Val: Loss nan  Acc(top1) 62.27% | HA 0.00@0

SP-[1] Epoch: 10/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.41  Acc 56.01% | Val: Loss nan  Acc(top1) 58.97% | HA 0.00@0

SP-[1] Epoch: 11/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.41  Acc 57.81% | Val: Loss nan  Acc(top1) 64.10% | HA 0.00@0

SP-[1] Epoch: 12/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.43  Acc 53.85% | Val: Loss nan  Acc(top1) 61.90% | HA 0.00@0

SP-[1] Epoch: 13/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.41  Acc 59.62% | Val: Loss nan  Acc(top1) 58.97% | HA 0.00@0

SP-[1] Epoch: 14/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.39  Acc 58.65% | Val: Loss nan  Acc(top1) 55.31% | HA 0.00@0

SP-[1] Epoch: 15/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.36  Acc 58.89% | Val: Loss nan  Acc(top1) 63.00% | HA 0.00@0

SP-[1] Epoch: 16/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.36  Acc 61.30% | Val: Loss nan  Acc(top1) 73.63% | HA 0.00@0

SP-[1] Epoch: 17/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.38  Acc 61.42% | Val: Loss nan  Acc(top1) 72.16% | HA 0.00@0

SP-[1] Epoch: 18/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.37  Acc 61.06% | Val: Loss nan  Acc(top1) 71.06% | HA 0.00@0

SP-[1] Epoch: 19/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 66.23% | Val: Loss nan  Acc(top1) 64.84% | HA 0.00@0

SP-[1] Epoch: 20/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.36  Acc 61.42% | Val: Loss nan  Acc(top1) 63.37% | HA 0.00@0

SP-[1] Epoch: 21/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 65.62% | Val: Loss nan  Acc(top1) 63.74% | HA 0.00@0

SP-[1] Epoch: 22/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.36  Acc 65.50% | Val: Loss nan  Acc(top1) 79.85% | HA 0.00@0

SP-[1] Epoch: 23/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 67.55% | Val: Loss nan  Acc(top1) 79.85% | HA 0.00@0

SP-[1] Epoch: 24/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 63.58% | Val: Loss nan  Acc(top1) 72.16% | HA 0.00@0

SP-[1] Epoch: 25/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 68.39% | Val: Loss nan  Acc(top1) 61.54% | HA 0.00@0

SP-[1] Epoch: 26/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 68.15% | Val: Loss nan  Acc(top1) 73.26% | HA 0.00@0

SP-[1] Epoch: 27/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 65.50% | Val: Loss nan  Acc(top1) 73.99% | HA 0.00@0

SP-[1] Epoch: 28/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 66.71% | Val: Loss nan  Acc(top1) 65.57% | HA 0.00@0

SP-[1] Epoch: 29/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.31  Acc 69.35% | Val: Loss nan  Acc(top1) 69.96% | HA 0.00@0

SP-[1] Epoch: 30/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 69.71% | Val: Loss nan  Acc(top1) 78.39% | HA 0.00@0

SP-[1] Epoch: 31/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 67.79% | Val: Loss nan  Acc(top1) 72.53% | HA 0.00@0

