SP-[1] Epoch: 1/1000 | Time: 0m07s (Train 0m05s  Val 0m01s) | Train: LR 0.05  Loss 0.65  Acc 27.46% | Val: Loss nan  Acc(top1) 16.86% | HA 0.00@0

SP-[1] Epoch: 2/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.61  Acc 31.47% | Val: Loss nan  Acc(top1) 16.86% | HA 0.00@0

SP-[1] Epoch: 3/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.59  Acc 37.28% | Val: Loss nan  Acc(top1) 33.72% | HA 0.00@0

SP-[1] Epoch: 4/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.58  Acc 41.85% | Val: Loss nan  Acc(top1) 31.42% | HA 0.00@0

SP-[1] Epoch: 5/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.57  Acc 48.66% | Val: Loss nan  Acc(top1) 26.05% | HA 0.00@0

SP-[1] Epoch: 6/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.57  Acc 48.66% | Val: Loss 0.72  Acc(top1) 31.03% | HA 0.00@0

SP-[1] Epoch: 7/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.56  Acc 52.79% | Val: Loss 0.64  Acc(top1) 37.16% | HA 0.00@0

SP-[1] Epoch: 8/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.54  Acc 56.58% | Val: Loss 0.59  Acc(top1) 40.23% | HA 0.00@0

SP-[1] Epoch: 9/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.55  Acc 53.24% | Val: Loss 0.51  Acc(top1) 46.36% | HA 0.00@0

SP-[1] Epoch: 10/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.05  Loss 0.54  Acc 57.81% | Val: Loss 0.47  Acc(top1) 49.04% | HA 0.00@0

SP-[1] Epoch: 11/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.50  Acc 58.82% | Val: Loss 0.20  Acc(top1) 68.20% | HA 0.00@0

SP-[1] Epoch: 12/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.45  Acc 64.06% | Val: Loss nan  Acc(top1) 78.93% | HA 0.00@0

SP-[1] Epoch: 13/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.37  Acc 67.08% | Val: Loss nan  Acc(top1) 84.29% | HA 0.00@0

SP-[1] Epoch: 14/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.33  Acc 71.54% | Val: Loss nan  Acc(top1) 84.67% | HA 0.00@0

SP-[1] Epoch: 15/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.34  Acc 67.19% | Val: Loss nan  Acc(top1) 85.44% | HA 0.00@0

SP-[1] Epoch: 16/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.33  Acc 69.53% | Val: Loss nan  Acc(top1) 86.59% | HA 0.00@0

SP-[1] Epoch: 17/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.32  Acc 70.65% | Val: Loss nan  Acc(top1) 85.82% | HA 0.00@0

SP-[1] Epoch: 18/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.30  Acc 71.99% | Val: Loss nan  Acc(top1) 86.21% | HA 0.00@0

SP-[1] Epoch: 19/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.31  Acc 69.31% | Val: Loss nan  Acc(top1) 86.21% | HA 0.00@0

SP-[1] Epoch: 20/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.31  Acc 71.43% | Val: Loss nan  Acc(top1) 88.51% | HA 0.00@0

SP-[1] Epoch: 21/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.32  Acc 69.87% | Val: Loss nan  Acc(top1) 87.74% | HA 0.00@0

save model:sp_ai_model_3Classes_hacc{}_valacc_{}_tracc_{}_{}th_epoch.pt, bestAcc:91.57087707519531, ValAcc:91.57087707519531-TrAcc72.99107142857143-@22
SP-[1] Epoch: 22/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.30  Acc 72.99% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@22

SP-[1] Epoch: 23/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.31  Acc 70.31% | Val: Loss nan  Acc(top1) 85.06% | HA 91.57@22

SP-[1] Epoch: 24/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.29  Acc 74.00% | Val: Loss nan  Acc(top1) 88.89% | HA 91.57@22

SP-[1] Epoch: 25/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.29  Acc 74.00% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@22

SP-[1] Epoch: 26/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.29  Acc 72.66% | Val: Loss nan  Acc(top1) 87.36% | HA 91.57@22

SP-[1] Epoch: 27/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.30  Acc 74.78% | Val: Loss nan  Acc(top1) 88.89% | HA 91.57@22

SP-[1] Epoch: 28/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.27  Acc 75.67% | Val: Loss nan  Acc(top1) 90.04% | HA 91.57@22

SP-[1] Epoch: 29/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.5  Loss 0.29  Acc 74.67% | Val: Loss nan  Acc(top1) 90.42% | HA 91.57@22

