SP-[1] Epoch: 1/1800 | Time: 0m09s (Train 0m07s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.89  Acc 29.51% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 2/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.82  Acc 34.98% | Val: Loss nan  Acc(top1) 41.09% | HA 0.00@0

SP-[1] Epoch: 3/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.80  Acc 39.93% | Val: Loss nan  Acc(top1) 50.29% | HA 0.00@0

SP-[1] Epoch: 4/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.77  Acc 48.09% | Val: Loss nan  Acc(top1) 47.41% | HA 0.00@0

SP-[1] Epoch: 5/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.76  Acc 50.09% | Val: Loss nan  Acc(top1) 52.59% | HA 0.00@0

SP-[1] Epoch: 6/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.72  Acc 50.35% | Val: Loss nan  Acc(top1) 45.69% | HA 0.00@0

SP-[1] Epoch: 7/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.72  Acc 52.26% | Val: Loss nan  Acc(top1) 54.31% | HA 0.00@0

SP-[1] Epoch: 8/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.72  Acc 47.22% | Val: Loss nan  Acc(top1) 50.57% | HA 0.00@0

SP-[1] Epoch: 9/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.71  Acc 50.52% | Val: Loss nan  Acc(top1) 45.98% | HA 0.00@0

SP-[1] Epoch: 10/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.69  Acc 55.03% | Val: Loss nan  Acc(top1) 53.45% | HA 0.00@0

SP-[1] Epoch: 11/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.72  Acc 51.22% | Val: Loss nan  Acc(top1) 44.25% | HA 0.00@0

SP-[1] Epoch: 12/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.71  Acc 51.39% | Val: Loss nan  Acc(top1) 41.09% | HA 0.00@0

SP-[1] Epoch: 13/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.71  Acc 51.04% | Val: Loss nan  Acc(top1) 47.70% | HA 0.00@0

SP-[1] Epoch: 14/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.68  Acc 51.82% | Val: Loss nan  Acc(top1) 65.80% | HA 0.00@0

SP-[1] Epoch: 15/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.65  Acc 55.56% | Val: Loss nan  Acc(top1) 51.72% | HA 0.00@0

SP-[1] Epoch: 16/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.66  Acc 55.73% | Val: Loss nan  Acc(top1) 60.63% | HA 0.00@0

SP-[1] Epoch: 17/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.62  Acc 57.12% | Val: Loss nan  Acc(top1) 52.30% | HA 0.00@0

SP-[1] Epoch: 18/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.62  Acc 59.90% | Val: Loss nan  Acc(top1) 63.79% | HA 0.00@0

SP-[1] Epoch: 19/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.61  Acc 58.51% | Val: Loss nan  Acc(top1) 71.26% | HA 0.00@0

SP-[1] Epoch: 20/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.59  Acc 59.11% | Val: Loss nan  Acc(top1) 68.97% | HA 0.00@0

SP-[1] Epoch: 21/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.57  Acc 62.59% | Val: Loss nan  Acc(top1) 55.17% | HA 0.00@0

SP-[1] Epoch: 22/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.60  Acc 58.85% | Val: Loss nan  Acc(top1) 69.25% | HA 0.00@0

SP-[1] Epoch: 23/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 61.63% | Val: Loss nan  Acc(top1) 72.13% | HA 0.00@0

SP-[1] Epoch: 24/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 64.84% | Val: Loss nan  Acc(top1) 67.53% | HA 0.00@0

SP-[1] Epoch: 25/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.54  Acc 64.67% | Val: Loss nan  Acc(top1) 71.84% | HA 0.00@0

SP-[1] Epoch: 26/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 59.38% | Val: Loss nan  Acc(top1) 57.47% | HA 0.00@0

SP-[1] Epoch: 27/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.54  Acc 62.24% | Val: Loss nan  Acc(top1) 65.80% | HA 0.00@0

