SP-[1] Epoch: 1/1600 | Time: 0m15s (Train 0m11s  Val 0m03s) | Train: LR 0.010000000000000002  Loss 0.84  Acc 47.06% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.53  Acc 49.72% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.39  Acc 56.53% | Val: Loss 0.10  Acc(top1) 39.14% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.35  Acc 58.73% | Val: Loss 0.09  Acc(top1) 40.37% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.31  Acc 62.96% | Val: Loss 0.03  Acc(top1) 44.04% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.29  Acc 66.18% | Val: Loss 0.13  Acc(top1) 38.23% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.28  Acc 63.88% | Val: Loss 0.08  Acc(top1) 40.37% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 65.44% | Val: Loss 0.05  Acc(top1) 44.95% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 64.98% | Val: Loss 0.01  Acc(top1) 46.48% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.24  Acc 70.68% | Val: Loss -0.02  Acc(top1) 48.93% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.25  Acc 64.89% | Val: Loss 0.03  Acc(top1) 45.26% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.23  Acc 66.73% | Val: Loss -0.19  Acc(top1) 50.15% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 70.50% | Val: Loss -0.20  Acc(top1) 56.88% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 74.63% | Val: Loss -0.16  Acc(top1) 52.60% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 74.54% | Val: Loss -0.11  Acc(top1) 52.60% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 78.49% | Val: Loss 0.19  Acc(top1) 33.03% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 75.00% | Val: Loss 0.13  Acc(top1) 37.61% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 75.92% | Val: Loss 0.15  Acc(top1) 36.39% | HA 0.00@0

SP-[1] Epoch: 19/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 75.00% | Val: Loss -0.09  Acc(top1) 52.29% | HA 0.00@0

SP-[1] Epoch: 20/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 75.92% | Val: Loss -0.24  Acc(top1) 55.05% | HA 0.00@0

SP-[1] Epoch: 21/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 77.48% | Val: Loss -0.17  Acc(top1) 58.72% | HA 0.00@0

SP-[1] Epoch: 22/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 78.40% | Val: Loss -0.16  Acc(top1) 58.10% | HA 0.00@0

