SP-[1] Epoch: 1/1000 | Time: 0m06s (Train 0m05s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.64  Acc 27.76% | Val: Loss nan  Acc(top1) 16.86% | HA 0.00@0

SP-[1] Epoch: 2/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.58  Acc 40.99% | Val: Loss 0.80  Acc(top1) 25.29% | HA 0.00@0

SP-[1] Epoch: 3/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.56  Acc 49.40% | Val: Loss 0.66  Acc(top1) 35.63% | HA 0.00@0

SP-[1] Epoch: 4/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.54  Acc 52.40% | Val: Loss 0.45  Acc(top1) 50.57% | HA 0.00@0

SP-[1] Epoch: 5/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.50  Acc 53.85% | Val: Loss 0.33  Acc(top1) 59.39% | HA 0.00@0

SP-[1] Epoch: 6/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.49  Acc 57.45% | Val: Loss 0.28  Acc(top1) 62.84% | HA 0.00@0

SP-[1] Epoch: 7/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.48  Acc 58.77% | Val: Loss 0.22  Acc(top1) 67.05% | HA 0.00@0

SP-[1] Epoch: 8/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.46  Acc 61.06% | Val: Loss 0.22  Acc(top1) 67.05% | HA 0.00@0

SP-[1] Epoch: 9/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.44  Acc 64.54% | Val: Loss nan  Acc(top1) 68.20% | HA 0.00@0

SP-[1] Epoch: 10/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.43  Acc 64.30% | Val: Loss nan  Acc(top1) 75.10% | HA 0.00@0

SP-[1] Epoch: 11/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 70.19% | Val: Loss nan  Acc(top1) 83.91% | HA 0.00@0

SP-[1] Epoch: 12/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 70.79% | Val: Loss nan  Acc(top1) 88.12% | HA 0.00@0

SP-[1] Epoch: 13/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 70.91% | Val: Loss nan  Acc(top1) 86.21% | HA 0.00@0

SP-[1] Epoch: 14/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 72.96% | Val: Loss nan  Acc(top1) 89.27% | HA 0.00@0

SP-[1] Epoch: 15/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 75.00% | Val: Loss nan  Acc(top1) 88.51% | HA 0.00@0

SP-[1] Epoch: 16/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 71.88% | Val: Loss nan  Acc(top1) 87.74% | HA 0.00@0

save model:sp_ai_model_3Classes_hacc{}_valacc_{}_tracc_{}_{}th_epoch.pt, bestAcc:91.57087707519531, ValAcc:91.57087707519531-TrAcc70.67307692307693-@17
SP-[1] Epoch: 17/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.31  Acc 70.67% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@17

SP-[1] Epoch: 18/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 71.39% | Val: Loss nan  Acc(top1) 86.97% | HA 91.57@17

SP-[1] Epoch: 19/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 72.12% | Val: Loss nan  Acc(top1) 88.51% | HA 91.57@17

SP-[1] Epoch: 20/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.08% | Val: Loss nan  Acc(top1) 88.89% | HA 91.57@17

SP-[1] Epoch: 21/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 70.79% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@17

SP-[1] Epoch: 22/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.31  Acc 70.43% | Val: Loss nan  Acc(top1) 90.80% | HA 91.57@17

SP-[1] Epoch: 23/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 69.47% | Val: Loss nan  Acc(top1) 90.04% | HA 91.57@17

SP-[1] Epoch: 24/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.31  Acc 72.96% | Val: Loss nan  Acc(top1) 90.80% | HA 91.57@17

SP-[1] Epoch: 25/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 70.67% | Val: Loss nan  Acc(top1) 85.44% | HA 91.57@17

SP-[1] Epoch: 26/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 75.48% | Val: Loss nan  Acc(top1) 91.19% | HA 91.57@17

SP-[1] Epoch: 27/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 74.64% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@17

SP-[1] Epoch: 28/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 72.60% | Val: Loss nan  Acc(top1) 89.27% | HA 91.57@17

SP-[1] Epoch: 29/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 74.88% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@17

SP-[1] Epoch: 30/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.16% | Val: Loss nan  Acc(top1) 90.42% | HA 91.57@17

SP-[1] Epoch: 31/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 75.48% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@17

SP-[1] Epoch: 32/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 75.12% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@17

SP-[1] Epoch: 33/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 72.72% | Val: Loss nan  Acc(top1) 90.04% | HA 91.57@17

SP-[1] Epoch: 34/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 72.00% | Val: Loss nan  Acc(top1) 90.80% | HA 91.57@17

SP-[1] Epoch: 35/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.88% | Val: Loss nan  Acc(top1) 90.80% | HA 91.57@17

SP-[1] Epoch: 36/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.28% | Val: Loss nan  Acc(top1) 89.66% | HA 91.57@17

SP-[1] Epoch: 37/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 75.12% | Val: Loss nan  Acc(top1) 91.57% | HA 91.57@17

SP-[1] Epoch: 38/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 69.35% | Val: Loss nan  Acc(top1) 90.04% | HA 91.57@17

SP-[1] Epoch: 39/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 72.60% | Val: Loss nan  Acc(top1) 89.27% | HA 91.57@17

SP-[1] Epoch: 40/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 75.24% | Val: Loss nan  Acc(top1) 89.66% | HA 91.57@17

SP-[1] Epoch: 41/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 73.56% | Val: Loss nan  Acc(top1) 89.66% | HA 91.57@17

save model:sp_ai_model_3Classes_hacc{}_valacc_{}_tracc_{}_{}th_epoch.pt, bestAcc:92.72030639648438, ValAcc:92.72030639648438-TrAcc72.23557692307693-@42
SP-[1] Epoch: 42/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 72.24% | Val: Loss nan  Acc(top1) 92.72% | HA 92.72@42

SP-[1] Epoch: 43/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 72.48% | Val: Loss nan  Acc(top1) 91.19% | HA 92.72@42

SP-[1] Epoch: 44/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.76% | Val: Loss nan  Acc(top1) 88.89% | HA 92.72@42

SP-[1] Epoch: 45/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 71.75% | Val: Loss nan  Acc(top1) 91.57% | HA 92.72@42

SP-[1] Epoch: 46/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 70.91% | Val: Loss nan  Acc(top1) 90.80% | HA 92.72@42

SP-[1] Epoch: 47/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.04% | Val: Loss nan  Acc(top1) 91.19% | HA 92.72@42

SP-[1] Epoch: 48/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 73.32% | Val: Loss nan  Acc(top1) 91.19% | HA 92.72@42

SP-[1] Epoch: 49/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 72.48% | Val: Loss nan  Acc(top1) 89.66% | HA 92.72@42

SP-[1] Epoch: 50/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 74.52% | Val: Loss nan  Acc(top1) 89.66% | HA 92.72@42

SP-[1] Epoch: 51/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.04% | Val: Loss nan  Acc(top1) 91.19% | HA 92.72@42

save model:sp_ai_model_3Classes_hacc{}_valacc_{}_tracc_{}_{}th_epoch.pt, bestAcc:93.48658752441406, ValAcc:93.48658752441406-TrAcc75.84134615384616-@52
SP-[1] Epoch: 52/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 75.84% | Val: Loss nan  Acc(top1) 93.49% | HA 93.49@52

SP-[1] Epoch: 53/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.44% | Val: Loss nan  Acc(top1) 91.57% | HA 93.49@52

SP-[1] Epoch: 54/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 75.60% | Val: Loss nan  Acc(top1) 92.34% | HA 93.49@52

SP-[1] Epoch: 55/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 70.79% | Val: Loss nan  Acc(top1) 92.34% | HA 93.49@52

SP-[1] Epoch: 56/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.80% | Val: Loss nan  Acc(top1) 87.36% | HA 93.49@52

SP-[1] Epoch: 57/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 75.12% | Val: Loss nan  Acc(top1) 89.27% | HA 93.49@52

SP-[1] Epoch: 58/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 68.99% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 59/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 73.44% | Val: Loss nan  Acc(top1) 90.80% | HA 93.49@52

SP-[1] Epoch: 60/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 72.36% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 61/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 71.03% | Val: Loss nan  Acc(top1) 91.95% | HA 93.49@52

SP-[1] Epoch: 62/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.52% | Val: Loss nan  Acc(top1) 90.04% | HA 93.49@52

SP-[1] Epoch: 63/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.28% | Val: Loss nan  Acc(top1) 89.66% | HA 93.49@52

SP-[1] Epoch: 64/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 72.96% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 65/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.92% | Val: Loss nan  Acc(top1) 89.27% | HA 93.49@52

SP-[1] Epoch: 66/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.40% | Val: Loss nan  Acc(top1) 90.80% | HA 93.49@52

SP-[1] Epoch: 67/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.64% | Val: Loss nan  Acc(top1) 91.57% | HA 93.49@52

SP-[1] Epoch: 68/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 75.24% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 69/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 74.28% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 70/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 75.24% | Val: Loss nan  Acc(top1) 90.04% | HA 93.49@52

SP-[1] Epoch: 71/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 72.00% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 72/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.30  Acc 73.44% | Val: Loss nan  Acc(top1) 90.04% | HA 93.49@52

SP-[1] Epoch: 73/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.44% | Val: Loss nan  Acc(top1) 91.57% | HA 93.49@52

SP-[1] Epoch: 74/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.04% | Val: Loss nan  Acc(top1) 89.66% | HA 93.49@52

SP-[1] Epoch: 75/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 76.92% | Val: Loss nan  Acc(top1) 90.80% | HA 93.49@52

SP-[1] Epoch: 76/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.68% | Val: Loss nan  Acc(top1) 91.57% | HA 93.49@52

SP-[1] Epoch: 77/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 72.84% | Val: Loss nan  Acc(top1) 91.57% | HA 93.49@52

SP-[1] Epoch: 78/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 73.08% | Val: Loss nan  Acc(top1) 92.34% | HA 93.49@52

SP-[1] Epoch: 79/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 71.39% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 80/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 73.32% | Val: Loss nan  Acc(top1) 89.66% | HA 93.49@52

SP-[1] Epoch: 81/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.52% | Val: Loss nan  Acc(top1) 90.80% | HA 93.49@52

SP-[1] Epoch: 82/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 75.12% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 83/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 71.27% | Val: Loss nan  Acc(top1) 93.10% | HA 93.49@52

SP-[1] Epoch: 84/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 73.32% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 85/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.88% | Val: Loss nan  Acc(top1) 91.95% | HA 93.49@52

SP-[1] Epoch: 86/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 73.56% | Val: Loss nan  Acc(top1) 91.95% | HA 93.49@52

SP-[1] Epoch: 87/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 75.00% | Val: Loss nan  Acc(top1) 90.80% | HA 93.49@52

SP-[1] Epoch: 88/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.76% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 89/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 75.12% | Val: Loss nan  Acc(top1) 92.34% | HA 93.49@52

SP-[1] Epoch: 90/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.44% | Val: Loss nan  Acc(top1) 91.57% | HA 93.49@52

SP-[1] Epoch: 91/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 76.44% | Val: Loss nan  Acc(top1) 92.72% | HA 93.49@52

SP-[1] Epoch: 92/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 73.68% | Val: Loss nan  Acc(top1) 89.66% | HA 93.49@52

SP-[1] Epoch: 93/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 73.20% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 94/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 74.52% | Val: Loss nan  Acc(top1) 90.80% | HA 93.49@52

SP-[1] Epoch: 95/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.28% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 96/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 72.96% | Val: Loss nan  Acc(top1) 88.89% | HA 93.49@52

SP-[1] Epoch: 97/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 74.88% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 98/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.88% | Val: Loss nan  Acc(top1) 91.57% | HA 93.49@52

SP-[1] Epoch: 99/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 74.40% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 100/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 76.44% | Val: Loss nan  Acc(top1) 90.42% | HA 93.49@52

SP-[1] Epoch: 101/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.27  Acc 73.68% | Val: Loss nan  Acc(top1) 90.04% | HA 93.49@52

SP-[1] Epoch: 102/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.31  Acc 73.08% | Val: Loss nan  Acc(top1) 88.89% | HA 93.49@52

SP-[1] Epoch: 103/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 76.20% | Val: Loss nan  Acc(top1) 89.27% | HA 93.49@52

SP-[1] Epoch: 104/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 75.36% | Val: Loss nan  Acc(top1) 91.19% | HA 93.49@52

SP-[1] Epoch: 105/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.28  Acc 73.56% | Val: Loss nan  Acc(top1) 92.34% | HA 93.49@52

