SP-[1] Epoch: 1/1800 | Time: 0m09s (Train 0m08s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.97  Acc 44.76% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 2/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.85  Acc 49.36% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 3/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.79  Acc 50.46% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 4/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.73  Acc 52.48% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 5/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.69  Acc 49.91% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 6/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.67  Acc 49.45% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 7/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.63  Acc 50.28% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 8/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.60  Acc 48.53% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 9/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.57  Acc 52.30% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 10/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.55  Acc 49.72% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 11/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 51.19% | Val: Loss 0.03  Acc(top1) 44.34% | HA 0.00@0

SP-[1] Epoch: 12/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.38  Acc 61.31% | Val: Loss 0.10  Acc(top1) 39.45% | HA 0.00@0

SP-[1] Epoch: 13/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.34  Acc 60.94% | Val: Loss 0.11  Acc(top1) 39.76% | HA 0.00@0

SP-[1] Epoch: 14/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.31  Acc 61.21% | Val: Loss 0.10  Acc(top1) 40.37% | HA 0.00@0

SP-[1] Epoch: 15/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 62.32% | Val: Loss -0.02  Acc(top1) 47.71% | HA 0.00@0

SP-[1] Epoch: 16/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.29  Acc 67.65% | Val: Loss -0.03  Acc(top1) 48.93% | HA 0.00@0

SP-[1] Epoch: 17/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 69.49% | Val: Loss -0.08  Acc(top1) 48.62% | HA 0.00@0

SP-[1] Epoch: 18/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.26  Acc 66.18% | Val: Loss 0.05  Acc(top1) 44.34% | HA 0.00@0

SP-[1] Epoch: 19/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.24  Acc 70.40% | Val: Loss -0.27  Acc(top1) 53.82% | HA 0.00@0

SP-[1] Epoch: 20/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.23  Acc 67.10% | Val: Loss -0.06  Acc(top1) 49.24% | HA 0.00@0

SP-[1] Epoch: 21/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.22  Acc 70.13% | Val: Loss -0.14  Acc(top1) 55.05% | HA 0.00@0

SP-[1] Epoch: 22/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 70.40% | Val: Loss -0.20  Acc(top1) 56.57% | HA 0.00@0

SP-[1] Epoch: 23/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 71.88% | Val: Loss -0.08  Acc(top1) 51.38% | HA 0.00@0

