SP-[1] Epoch: 1/1800 | Time: 0m09s (Train 0m07s  Val 0m01s) | Train: LR 0.005000000000000001  Loss 0.90  Acc 30.21% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 2/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.83  Acc 35.68% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 3/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.82  Acc 34.38% | Val: Loss nan  Acc(top1) 45.40% | HA 0.00@0

SP-[1] Epoch: 4/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.79  Acc 40.80% | Val: Loss nan  Acc(top1) 48.56% | HA 0.00@0

SP-[1] Epoch: 5/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.78  Acc 45.57% | Val: Loss nan  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 6/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.75  Acc 49.31% | Val: Loss nan  Acc(top1) 55.75% | HA 0.00@0

SP-[1] Epoch: 7/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.75  Acc 48.26% | Val: Loss nan  Acc(top1) 55.17% | HA 0.00@0

SP-[1] Epoch: 8/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.75  Acc 46.44% | Val: Loss nan  Acc(top1) 52.87% | HA 0.00@0

SP-[1] Epoch: 9/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.73  Acc 51.22% | Val: Loss nan  Acc(top1) 56.03% | HA 0.00@0

SP-[1] Epoch: 10/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.72  Acc 55.38% | Val: Loss nan  Acc(top1) 53.45% | HA 0.00@0

SP-[1] Epoch: 11/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.75  Acc 49.65% | Val: Loss nan  Acc(top1) 57.47% | HA 0.00@0

SP-[1] Epoch: 12/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.72  Acc 50.09% | Val: Loss nan  Acc(top1) 56.32% | HA 0.00@0

SP-[1] Epoch: 13/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.72  Acc 51.30% | Val: Loss nan  Acc(top1) 60.63% | HA 0.00@0

SP-[1] Epoch: 14/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.69  Acc 50.43% | Val: Loss nan  Acc(top1) 47.70% | HA 0.00@0

SP-[1] Epoch: 15/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.67  Acc 54.08% | Val: Loss nan  Acc(top1) 48.28% | HA 0.00@0

SP-[1] Epoch: 16/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.68  Acc 52.26% | Val: Loss nan  Acc(top1) 43.10% | HA 0.00@0

SP-[1] Epoch: 17/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.64  Acc 56.16% | Val: Loss nan  Acc(top1) 56.90% | HA 0.00@0

SP-[1] Epoch: 18/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.64  Acc 57.29% | Val: Loss nan  Acc(top1) 43.39% | HA 0.00@0

SP-[1] Epoch: 19/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.63  Acc 57.03% | Val: Loss nan  Acc(top1) 69.54% | HA 0.00@0

SP-[1] Epoch: 20/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.61  Acc 56.86% | Val: Loss nan  Acc(top1) 61.49% | HA 0.00@0

SP-[1] Epoch: 21/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.58  Acc 62.24% | Val: Loss nan  Acc(top1) 71.26% | HA 0.00@0

SP-[1] Epoch: 22/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.62  Acc 57.73% | Val: Loss nan  Acc(top1) 66.09% | HA 0.00@0

SP-[1] Epoch: 23/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.57  Acc 61.46% | Val: Loss nan  Acc(top1) 69.25% | HA 0.00@0

SP-[1] Epoch: 24/1800 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.58  Acc 63.02% | Val: Loss nan  Acc(top1) 71.55% | HA 0.00@0

