SP-[1] Epoch: 1/1600 | Time: 0m09s (Train 0m07s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.83  Acc 48.26% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.51  Acc 50.87% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.39  Acc 56.94% | Val: Loss 0.03  Acc(top1) 42.53% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.34  Acc 58.94% | Val: Loss 0.13  Acc(top1) 39.08% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.30  Acc 59.98% | Val: Loss 0.14  Acc(top1) 38.79% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.29  Acc 61.63% | Val: Loss 0.12  Acc(top1) 41.38% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.28  Acc 66.23% | Val: Loss 0.20  Acc(top1) 35.63% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.27  Acc 63.02% | Val: Loss 0.00  Acc(top1) 47.99% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 66.41% | Val: Loss 0.08  Acc(top1) 45.11% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.24  Acc 65.54% | Val: Loss -0.02  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.25  Acc 64.24% | Val: Loss 0.34  Acc(top1) 24.43% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.23  Acc 69.79% | Val: Loss -0.20  Acc(top1) 57.18% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.22  Acc 71.88% | Val: Loss -0.19  Acc(top1) 56.32% | HA 0.00@0

