SP-[1] Epoch: 1/1600 | Time: 0m09s (Train 0m07s  Val 0m01s) | Train: LR 0.005000000000000001  Loss 0.90  Acc 48.09% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.65  Acc 50.87% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.52  Acc 51.65% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.44  Acc 49.57% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.39  Acc 53.65% | Val: Loss 0.02  Acc(top1) 44.25% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.37  Acc 61.55% | Val: Loss 0.06  Acc(top1) 43.39% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.35  Acc 64.32% | Val: Loss 0.08  Acc(top1) 43.39% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.33  Acc 61.02% | Val: Loss 0.05  Acc(top1) 44.25% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.32  Acc 61.63% | Val: Loss 0.18  Acc(top1) 37.07% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.005000000000000001  Loss 0.30  Acc 61.98% | Val: Loss 0.15  Acc(top1) 39.08% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.26  Acc 65.54% | Val: Loss 0.13  Acc(top1) 40.52% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.24  Acc 67.88% | Val: Loss -0.14  Acc(top1) 53.16% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.23  Acc 70.31% | Val: Loss -0.11  Acc(top1) 54.60% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.21  Acc 71.70% | Val: Loss -0.16  Acc(top1) 59.48% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.23  Acc 69.79% | Val: Loss 0.10  Acc(top1) 43.97% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.20  Acc 68.49% | Val: Loss -0.18  Acc(top1) 60.06% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.20  Acc 70.75% | Val: Loss -0.17  Acc(top1) 60.92% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.20  Acc 72.92% | Val: Loss -0.18  Acc(top1) 60.06% | HA 0.00@0

SP-[1] Epoch: 19/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.18  Acc 75.87% | Val: Loss -0.19  Acc(top1) 61.21% | HA 0.00@0

SP-[1] Epoch: 20/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.18  Acc 78.39% | Val: Loss -0.12  Acc(top1) 58.62% | HA 0.00@0

SP-[1] Epoch: 21/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.18  Acc 75.61% | Val: Loss -0.11  Acc(top1) 57.76% | HA 0.00@0

SP-[1] Epoch: 22/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.17  Acc 77.52% | Val: Loss -0.04  Acc(top1) 54.02% | HA 0.00@0

SP-[1] Epoch: 23/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.18  Acc 76.39% | Val: Loss nan  Acc(top1) 56.61% | HA 0.00@0

SP-[1] Epoch: 24/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.17  Acc 77.43% | Val: Loss nan  Acc(top1) 63.51% | HA 0.00@0

SP-[1] Epoch: 25/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.18  Acc 75.69% | Val: Loss -0.10  Acc(top1) 57.18% | HA 0.00@0

SP-[1] Epoch: 26/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.17  Acc 77.00% | Val: Loss nan  Acc(top1) 61.78% | HA 0.00@0

SP-[1] Epoch: 27/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.17  Acc 76.48% | Val: Loss nan  Acc(top1) 59.48% | HA 0.00@0

SP-[1] Epoch: 28/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.16  Acc 79.17% | Val: Loss nan  Acc(top1) 58.33% | HA 0.00@0

SP-[1] Epoch: 29/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.17  Acc 80.73% | Val: Loss nan  Acc(top1) 60.92% | HA 0.00@0

SP-[1] Epoch: 30/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.17  Acc 77.26% | Val: Loss nan  Acc(top1) 63.22% | HA 0.00@0

SP-[1] Epoch: 31/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.16  Acc 78.21% | Val: Loss nan  Acc(top1) 60.34% | HA 0.00@0

SP-[1] Epoch: 32/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.05  Loss 0.17  Acc 76.56% | Val: Loss nan  Acc(top1) 62.07% | HA 0.00@0

