SP-[1] Epoch: 1/1200 | Time: 0m10s (Train 0m08s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.96  Acc 25.62% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 2/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.91  Acc 27.97% | Val: Loss -0.39  Acc(top1) 45.65% | HA 0.00@0

SP-[1] Epoch: 3/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.84  Acc 34.06% | Val: Loss 0.18  Acc(top1) 52.90% | HA 0.00@0

SP-[1] Epoch: 4/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.80  Acc 47.19% | Val: Loss nan  Acc(top1) 55.56% | HA 0.00@0

SP-[1] Epoch: 5/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.77  Acc 48.36% | Val: Loss nan  Acc(top1) 59.18% | HA 0.00@0

SP-[1] Epoch: 6/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.76  Acc 49.38% | Val: Loss nan  Acc(top1) 61.11% | HA 0.00@0

SP-[1] Epoch: 7/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.74  Acc 51.72% | Val: Loss nan  Acc(top1) 64.49% | HA 0.00@0

SP-[1] Epoch: 8/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.70  Acc 53.36% | Val: Loss nan  Acc(top1) 66.91% | HA 0.00@0

SP-[1] Epoch: 9/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.69  Acc 52.58% | Val: Loss nan  Acc(top1) 70.77% | HA 0.00@0

SP-[1] Epoch: 10/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.68  Acc 53.98% | Val: Loss nan  Acc(top1) 72.46% | HA 0.00@0

SP-[1] Epoch: 11/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.62  Acc 57.58% | Val: Loss nan  Acc(top1) 78.74% | HA 0.00@0

SP-[1] Epoch: 12/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.54  Acc 62.50% | Val: Loss nan  Acc(top1) 79.71% | HA 0.00@0

SP-[1] Epoch: 13/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 60.08% | Val: Loss nan  Acc(top1) 80.92% | HA 0.00@0

SP-[1] Epoch: 14/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 61.64% | Val: Loss nan  Acc(top1) 81.88% | HA 0.00@0

SP-[1] Epoch: 15/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 64.53% | Val: Loss nan  Acc(top1) 83.57% | HA 0.00@0

SP-[1] Epoch: 16/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 64.61% | Val: Loss nan  Acc(top1) 83.09% | HA 0.00@0

SP-[1] Epoch: 17/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.47  Acc 66.48% | Val: Loss nan  Acc(top1) 82.37% | HA 0.00@0

SP-[1] Epoch: 18/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 67.19% | Val: Loss nan  Acc(top1) 85.99% | HA 0.00@0

SP-[1] Epoch: 19/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 67.42% | Val: Loss nan  Acc(top1) 86.47% | HA 0.00@0

SP-[1] Epoch: 20/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 67.34% | Val: Loss nan  Acc(top1) 84.78% | HA 0.00@0

SP-[1] Epoch: 21/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.47  Acc 66.48% | Val: Loss nan  Acc(top1) 85.51% | HA 0.00@0

SP-[1] Epoch: 22/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 67.58% | Val: Loss nan  Acc(top1) 86.71% | HA 0.00@0

SP-[1] Epoch: 23/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.45  Acc 68.28% | Val: Loss nan  Acc(top1) 84.06% | HA 0.00@0

SP-[1] Epoch: 24/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.45  Acc 70.16% | Val: Loss nan  Acc(top1) 83.82% | HA 0.00@0

SP-[1] Epoch: 25/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 70.86% | Val: Loss nan  Acc(top1) 83.33% | HA 0.00@0

SP-[1] Epoch: 26/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.43  Acc 68.67% | Val: Loss nan  Acc(top1) 87.68% | HA 0.00@0

SP-[1] Epoch: 27/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.44  Acc 70.86% | Val: Loss nan  Acc(top1) 87.92% | HA 0.00@0

SP-[1] Epoch: 28/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.44  Acc 68.36% | Val: Loss nan  Acc(top1) 86.23% | HA 0.00@0

save model:uec_model_4Classes_hacc{}_valacc_{}_tracc_{}_{}th_epoch.pt, bestAcc:88.8888931274414, ValAcc:88.8888931274414-TrAcc68.046875-@29
SP-[1] Epoch: 29/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.44  Acc 68.05% | Val: Loss nan  Acc(top1) 88.89% | HA 88.89@29

SP-[1] Epoch: 30/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.44  Acc 68.67% | Val: Loss nan  Acc(top1) 83.82% | HA 88.89@29

SP-[1] Epoch: 31/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.44  Acc 68.91% | Val: Loss nan  Acc(top1) 84.54% | HA 88.89@29

SP-[1] Epoch: 32/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.45  Acc 68.75% | Val: Loss nan  Acc(top1) 87.44% | HA 88.89@29

SP-[1] Epoch: 33/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.45  Acc 67.42% | Val: Loss nan  Acc(top1) 87.20% | HA 88.89@29

SP-[1] Epoch: 34/1200 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.43  Acc 70.70% | Val: Loss nan  Acc(top1) 86.71% | HA 88.89@29

save model:uec_model_4Classes_hacc{}_valacc_{}_tracc_{}_{}th_epoch.pt, bestAcc:89.613525390625, ValAcc:89.613525390625-TrAcc66.640625-@35
SP-[1] Epoch: 35/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.45  Acc 66.64% | Val: Loss nan  Acc(top1) 89.61% | HA 89.61@35

SP-[1] Epoch: 36/1200 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 68.12% | Val: Loss nan  Acc(top1) 86.96% | HA 89.61@35

