SP-[1] Epoch: 1/1600 | Time: 0m14s (Train 0m11s  Val 0m03s) | Train: LR 0.010000000000000002  Loss 0.84  Acc 47.06% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.53  Acc 49.72% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.39  Acc 56.80% | Val: Loss 0.10  Acc(top1) 38.84% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.35  Acc 59.28% | Val: Loss 0.13  Acc(top1) 37.31% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.31  Acc 62.59% | Val: Loss 0.05  Acc(top1) 42.81% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.30  Acc 64.98% | Val: Loss 0.07  Acc(top1) 40.67% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.29  Acc 63.51% | Val: Loss 0.13  Acc(top1) 37.61% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.27  Acc 65.07% | Val: Loss 0.13  Acc(top1) 38.23% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 65.99% | Val: Loss 0.04  Acc(top1) 45.26% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.24  Acc 68.84% | Val: Loss -0.01  Acc(top1) 48.62% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.25  Acc 67.56% | Val: Loss 0.10  Acc(top1) 39.45% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.22  Acc 68.11% | Val: Loss -0.06  Acc(top1) 49.24% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 71.60% | Val: Loss 0.19  Acc(top1) 33.64% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 76.38% | Val: Loss -0.18  Acc(top1) 54.43% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 76.29% | Val: Loss -0.24  Acc(top1) 58.10% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 77.21% | Val: Loss -0.06  Acc(top1) 48.01% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 77.94% | Val: Loss -0.07  Acc(top1) 51.68% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 75.28% | Val: Loss -0.35  Acc(top1) 50.15% | HA 0.00@0

SP-[1] Epoch: 19/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 76.29% | Val: Loss -0.36  Acc(top1) 48.32% | HA 0.00@0

SP-[1] Epoch: 20/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 77.02% | Val: Loss -0.42  Acc(top1) 43.43% | HA 0.00@0

SP-[1] Epoch: 21/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 74.82% | Val: Loss -0.18  Acc(top1) 58.41% | HA 0.00@0

SP-[1] Epoch: 22/1600 | Time: 0m06s (Train 0m06s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 77.48% | Val: Loss -0.27  Acc(top1) 53.21% | HA 0.00@0

