SP-[1] Epoch: 1/1000 | Time: 0m06s (Train 0m05s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.56  Acc 45.19% | Val: Loss nan  Acc(top1) 16.12% | HA 0.00@0

SP-[1] Epoch: 2/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.53  Acc 58.89% | Val: Loss nan  Acc(top1) 39.56% | HA 0.00@0

SP-[1] Epoch: 3/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.48  Acc 66.11% | Val: Loss nan  Acc(top1) 36.63% | HA 0.00@0

SP-[1] Epoch: 4/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.44  Acc 72.84% | Val: Loss nan  Acc(top1) 36.63% | HA 0.00@0

SP-[1] Epoch: 5/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.41  Acc 73.56% | Val: Loss nan  Acc(top1) 37.73% | HA 0.00@0

SP-[1] Epoch: 6/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.35  Acc 73.56% | Val: Loss nan  Acc(top1) 38.83% | HA 0.00@0

SP-[1] Epoch: 7/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.33  Acc 74.52% | Val: Loss nan  Acc(top1) 39.93% | HA 0.00@0

SP-[1] Epoch: 8/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.29  Acc 75.60% | Val: Loss nan  Acc(top1) 40.66% | HA 0.00@0

SP-[1] Epoch: 9/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 76.32% | Val: Loss nan  Acc(top1) 41.76% | HA 0.00@0

SP-[1] Epoch: 10/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.24  Acc 76.92% | Val: Loss nan  Acc(top1) 43.96% | HA 0.00@0

SP-[1] Epoch: 11/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.23  Acc 73.44% | Val: Loss nan  Acc(top1) 60.81% | HA 0.00@0

SP-[1] Epoch: 12/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 71.63% | Val: Loss nan  Acc(top1) 67.77% | HA 0.00@0

SP-[1] Epoch: 13/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 73.68% | Val: Loss nan  Acc(top1) 65.57% | HA 0.00@0

SP-[1] Epoch: 14/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 77.28% | Val: Loss nan  Acc(top1) 57.51% | HA 0.00@0

SP-[1] Epoch: 15/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 74.88% | Val: Loss nan  Acc(top1) 68.86% | HA 0.00@0

SP-[1] Epoch: 16/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 77.64% | Val: Loss nan  Acc(top1) 65.93% | HA 0.00@0

SP-[1] Epoch: 17/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 78.12% | Val: Loss nan  Acc(top1) 63.74% | HA 0.00@0

SP-[1] Epoch: 18/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 76.20% | Val: Loss nan  Acc(top1) 57.51% | HA 0.00@0

SP-[1] Epoch: 19/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 78.97% | Val: Loss nan  Acc(top1) 59.34% | HA 0.00@0

SP-[1] Epoch: 20/1000 | Time: 0m05s (Train 0m05s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 76.68% | Val: Loss nan  Acc(top1) 65.57% | HA 0.00@0

