SP-[1] Epoch: 1/1600 | Time: 0m09s (Train 0m07s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.90  Acc 47.40% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.62  Acc 50.35% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.47  Acc 51.91% | Val: Loss -0.44  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.40  Acc 56.25% | Val: Loss 0.13  Acc(top1) 39.94% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.34  Acc 61.20% | Val: Loss 0.17  Acc(top1) 37.64% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.32  Acc 60.68% | Val: Loss 0.16  Acc(top1) 38.51% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.30  Acc 63.80% | Val: Loss 0.15  Acc(top1) 39.37% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.28  Acc 63.98% | Val: Loss 0.10  Acc(top1) 42.24% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 65.19% | Val: Loss 0.13  Acc(top1) 40.80% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.25  Acc 63.63% | Val: Loss 0.18  Acc(top1) 36.49% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.24  Acc 63.72% | Val: Loss 0.09  Acc(top1) 42.53% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 70.57% | Val: Loss -0.07  Acc(top1) 51.44% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 72.74% | Val: Loss -0.24  Acc(top1) 53.45% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 71.44% | Val: Loss 0.06  Acc(top1) 45.11% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 73.35% | Val: Loss 0.04  Acc(top1) 46.84% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 72.05% | Val: Loss -0.25  Acc(top1) 57.47% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 72.83% | Val: Loss -0.11  Acc(top1) 58.05% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 73.26% | Val: Loss -0.12  Acc(top1) 58.91% | HA 0.00@0

SP-[1] Epoch: 19/1600 | Time: 0m07s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 75.26% | Val: Loss -0.21  Acc(top1) 61.21% | HA 0.00@0

