SP-[1] Epoch: 1/1600 | Time: 0m10s (Train 0m08s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.80  Acc 50.23% | Val: Loss -0.48  Acc(top1) 36.41% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.49  Acc 49.61% | Val: Loss -0.15  Acc(top1) 38.46% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.38  Acc 55.47% | Val: Loss 0.14  Acc(top1) 44.36% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.33  Acc 60.78% | Val: Loss 0.02  Acc(top1) 48.46% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.29  Acc 61.33% | Val: Loss 0.15  Acc(top1) 45.13% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.29  Acc 57.97% | Val: Loss 0.08  Acc(top1) 48.72% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.27  Acc 62.19% | Val: Loss 0.10  Acc(top1) 48.21% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 65.70% | Val: Loss 0.10  Acc(top1) 47.95% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.24  Acc 66.09% | Val: Loss 0.01  Acc(top1) 51.79% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.24  Acc 67.03% | Val: Loss 0.07  Acc(top1) 51.28% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.24  Acc 66.95% | Val: Loss -0.19  Acc(top1) 61.03% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.22  Acc 65.31% | Val: Loss -0.19  Acc(top1) 62.56% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 72.42% | Val: Loss 0.08  Acc(top1) 50.51% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 68.52% | Val: Loss -0.01  Acc(top1) 55.38% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 73.05% | Val: Loss -0.19  Acc(top1) 61.54% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 72.81% | Val: Loss nan  Acc(top1) 63.33% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 75.08% | Val: Loss nan  Acc(top1) 60.51% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 74.38% | Val: Loss nan  Acc(top1) 59.49% | HA 0.00@0

SP-[1] Epoch: 19/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 75.16% | Val: Loss nan  Acc(top1) 60.26% | HA 0.00@0

SP-[1] Epoch: 20/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 72.97% | Val: Loss -0.13  Acc(top1) 63.85% | HA 0.00@0

SP-[1] Epoch: 21/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 76.72% | Val: Loss nan  Acc(top1) 66.92% | HA 0.00@0

SP-[1] Epoch: 22/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 76.33% | Val: Loss nan  Acc(top1) 63.59% | HA 0.00@0

SP-[1] Epoch: 23/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 77.97% | Val: Loss nan  Acc(top1) 64.87% | HA 0.00@0

SP-[1] Epoch: 24/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.19  Acc 77.89% | Val: Loss nan  Acc(top1) 61.28% | HA 0.00@0

SP-[1] Epoch: 25/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 76.33% | Val: Loss nan  Acc(top1) 68.46% | HA 0.00@0

SP-[1] Epoch: 26/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 76.25% | Val: Loss nan  Acc(top1) 63.85% | HA 0.00@0

SP-[1] Epoch: 27/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 76.88% | Val: Loss nan  Acc(top1) 69.23% | HA 0.00@0

SP-[1] Epoch: 28/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 78.52% | Val: Loss nan  Acc(top1) 67.18% | HA 0.00@0

SP-[1] Epoch: 29/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 78.83% | Val: Loss nan  Acc(top1) 66.15% | HA 0.00@0

SP-[1] Epoch: 30/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 77.58% | Val: Loss nan  Acc(top1) 68.46% | HA 0.00@0

SP-[1] Epoch: 31/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 78.83% | Val: Loss nan  Acc(top1) 67.95% | HA 0.00@0

SP-[1] Epoch: 32/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 78.36% | Val: Loss nan  Acc(top1) 66.15% | HA 0.00@0

SP-[1] Epoch: 33/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 79.38% | Val: Loss nan  Acc(top1) 65.38% | HA 0.00@0

SP-[1] Epoch: 34/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 81.02% | Val: Loss nan  Acc(top1) 68.46% | HA 0.00@0

SP-[1] Epoch: 35/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 77.66% | Val: Loss nan  Acc(top1) 63.33% | HA 0.00@0

SP-[1] Epoch: 36/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.17  Acc 78.12% | Val: Loss nan  Acc(top1) 62.05% | HA 0.00@0

SP-[1] Epoch: 37/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 79.38% | Val: Loss nan  Acc(top1) 63.08% | HA 0.00@0

SP-[1] Epoch: 38/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 77.73% | Val: Loss nan  Acc(top1) 67.44% | HA 0.00@0

SP-[1] Epoch: 39/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 80.55% | Val: Loss nan  Acc(top1) 67.69% | HA 0.00@0

SP-[1] Epoch: 40/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 79.06% | Val: Loss nan  Acc(top1) 65.90% | HA 0.00@0

SP-[1] Epoch: 41/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 80.39% | Val: Loss nan  Acc(top1) 57.95% | HA 0.00@0

SP-[1] Epoch: 42/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 79.53% | Val: Loss nan  Acc(top1) 65.64% | HA 0.00@0

SP-[1] Epoch: 43/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 80.31% | Val: Loss nan  Acc(top1) 65.13% | HA 0.00@0

SP-[1] Epoch: 44/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.11% | Val: Loss nan  Acc(top1) 68.97% | HA 0.00@0

SP-[1] Epoch: 45/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 79.77% | Val: Loss nan  Acc(top1) 67.95% | HA 0.00@0

SP-[1] Epoch: 46/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 79.06% | Val: Loss nan  Acc(top1) 67.69% | HA 0.00@0

SP-[1] Epoch: 47/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 81.02% | Val: Loss nan  Acc(top1) 67.69% | HA 0.00@0

SP-[1] Epoch: 48/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 81.95% | Val: Loss nan  Acc(top1) 71.28% | HA 0.00@0

SP-[1] Epoch: 49/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 81.88% | Val: Loss -0.08  Acc(top1) 63.08% | HA 0.00@0

SP-[1] Epoch: 50/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 80.70% | Val: Loss nan  Acc(top1) 68.21% | HA 0.00@0

SP-[1] Epoch: 51/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.89% | Val: Loss nan  Acc(top1) 68.46% | HA 0.00@0

SP-[1] Epoch: 52/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 82.50% | Val: Loss nan  Acc(top1) 67.69% | HA 0.00@0

SP-[1] Epoch: 53/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 80.47% | Val: Loss nan  Acc(top1) 67.95% | HA 0.00@0

SP-[1] Epoch: 54/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 80.23% | Val: Loss nan  Acc(top1) 70.26% | HA 0.00@0

SP-[1] Epoch: 55/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 82.27% | Val: Loss nan  Acc(top1) 63.85% | HA 0.00@0

SP-[1] Epoch: 56/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 81.41% | Val: Loss nan  Acc(top1) 68.97% | HA 0.00@0

SP-[1] Epoch: 57/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 80.23% | Val: Loss nan  Acc(top1) 66.15% | HA 0.00@0

SP-[1] Epoch: 58/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 80.47% | Val: Loss nan  Acc(top1) 71.79% | HA 0.00@0

SP-[1] Epoch: 59/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 81.25% | Val: Loss nan  Acc(top1) 56.92% | HA 0.00@0

SP-[1] Epoch: 60/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 83.52% | Val: Loss nan  Acc(top1) 68.72% | HA 0.00@0

SP-[1] Epoch: 61/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.58% | Val: Loss nan  Acc(top1) 66.67% | HA 0.00@0

SP-[1] Epoch: 62/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 81.33% | Val: Loss -0.05  Acc(top1) 60.51% | HA 0.00@0

SP-[1] Epoch: 63/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 80.47% | Val: Loss nan  Acc(top1) 49.49% | HA 0.00@0

SP-[1] Epoch: 64/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 80.86% | Val: Loss nan  Acc(top1) 70.26% | HA 0.00@0

SP-[1] Epoch: 65/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 81.56% | Val: Loss nan  Acc(top1) 66.41% | HA 0.00@0

SP-[1] Epoch: 66/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.27% | Val: Loss -0.17  Acc(top1) 67.44% | HA 0.00@0

SP-[1] Epoch: 67/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 81.64% | Val: Loss nan  Acc(top1) 69.74% | HA 0.00@0

SP-[1] Epoch: 68/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.58% | Val: Loss nan  Acc(top1) 64.62% | HA 0.00@0

SP-[1] Epoch: 69/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 82.42% | Val: Loss nan  Acc(top1) 70.77% | HA 0.00@0

SP-[1] Epoch: 70/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 81.95% | Val: Loss nan  Acc(top1) 69.74% | HA 0.00@0

SP-[1] Epoch: 71/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 83.12% | Val: Loss nan  Acc(top1) 68.21% | HA 0.00@0

SP-[1] Epoch: 72/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 81.56% | Val: Loss -0.17  Acc(top1) 64.62% | HA 0.00@0

SP-[1] Epoch: 73/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.16  Acc 81.02% | Val: Loss nan  Acc(top1) 72.31% | HA 0.00@0

SP-[1] Epoch: 74/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 83.91% | Val: Loss -0.15  Acc(top1) 65.90% | HA 0.00@0

SP-[1] Epoch: 75/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 81.02% | Val: Loss -0.24  Acc(top1) 62.31% | HA 0.00@0

SP-[1] Epoch: 76/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.92% | Val: Loss nan  Acc(top1) 70.26% | HA 0.00@0

SP-[1] Epoch: 77/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 82.81% | Val: Loss nan  Acc(top1) 66.67% | HA 0.00@0

SP-[1] Epoch: 78/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 83.36% | Val: Loss nan  Acc(top1) 71.03% | HA 0.00@0

SP-[1] Epoch: 79/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 82.81% | Val: Loss nan  Acc(top1) 65.64% | HA 0.00@0

SP-[1] Epoch: 80/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.27% | Val: Loss nan  Acc(top1) 69.23% | HA 0.00@0

SP-[1] Epoch: 81/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.73% | Val: Loss nan  Acc(top1) 61.03% | HA 0.00@0

